Date,Open,High,Low,Close,Volume,Volume(ETH),Market Cap
2024-04-14,$3011,$3166,$2923,$3153,$23 bn,7530369.0,$373.4 bn
2024-04-13,$3230,$3293,$2883,$3013,$26.6 bn,8310467.0,$391.3 bn
2024-04-12,$3503,$3551,$3173,$3242,$19.5 bn,5680677.0,$420.2 bn
2024-04-11,$3542,$3613,$3486,$3506,$12.7 bn,3574952.0,$433.1 bn
2024-04-10,$3503,$3555,$3421,$3543,$15.8 bn,4509418.0,$429.2 bn
2024-04-09,$3700,$3720,$3466,$3506,$16.1 bn,4465773.0,$440.5 bn
2024-04-08,$3452,$3725,$3412,$3695,$17.2 bn,4794109.0,$437.8 bn
2024-04-07,$3355,$3458,$3347,$3454,$8.9 bn,2633564.0,$415.2 bn
2024-04-06,$3318,$3394,$3311,$3356,$8.1 bn,2414072.0,$408.5 bn
2024-04-05,$3325,$3342,$3217,$3320,$13.3 bn,4020063.0,$403.6 bn
2024-04-04,$3309,$3432,$3256,$3327,$12.7 bn,3796537.0,$408.2 bn
2024-04-03,$3279,$3359,$3218,$3315,$14 bn,4220752.0,$405.6 bn
2024-04-02,$3505,$3505,$3225,$3275,$19.1 bn,5729456.0,$407.6 bn
2024-04-01,$3643,$3643,$3425,$3504,$15 bn,4249068.0,$432.4 bn
2024-03-31,$3506,$3653,$3506,$3648,$9.6 bn,2653333.0,$440.8 bn
2024-03-30,$3511,$3564,$3489,$3507,$8.9 bn,2527076.0,$430.4 bn
2024-03-29,$3560,$3568,$3479,$3511,$11.9 bn,3361943.0,$432.2 bn
2024-03-28,$3500,$3607,$3471,$3562,$14.3 bn,4036546.0,$434.9 bn
2024-03-27,$3587,$3662,$3467,$3505,$16.3 bn,4578990.0,$435.5 bn
2024-03-26,$3588,$3672,$3551,$3590,$16.2 bn,4474039.0,$442 bn
2024-03-25,$3457,$3646,$3425,$3588,$16.6 bn,4730016.0,$430.1 bn
2024-03-24,$3331,$3466,$3302,$3454,$10.9 bn,3217997.0,$412.7 bn
2024-03-23,$3331,$3427,$3276,$3335,$11.5 bn,3412094.0,$411.6 bn
2024-03-22,$3494,$3532,$3260,$3323,$17.7 bn,5184647.0,$417.3 bn
2024-03-21,$3506,$3580,$3418,$3491,$19.7 bn,5614661.0,$429.6 bn
2024-03-20,$3166,$3528,$3067,$3512,$33.9 bn,10308565.0,$402.3 bn
2024-03-19,$3521,$3544,$3152,$3160,$29.3 bn,8830574.0,$406.2 bn
2024-03-18,$3641,$3641,$3469,$3525,$18.7 bn,5241367.0,$436.1 bn
2024-03-17,$3533,$3675,$3428,$3645,$18.2 bn,5080870.0,$438.2 bn
2024-03-16,$3741,$3775,$3486,$3524,$18.2 bn,4953481.0,$449.8 bn
2024-03-15,$3885,$3924,$3610,$3737,$30.3 bn,8145361.0,$455.2 bn
2024-03-14,$4006,$4010,$3735,$3884,$22.6 bn,5748303.0,$480.1 bn
2024-03-13,$3983,$4079,$3948,$4006,$19.8 bn,4940452.0,$491.2 bn
2024-03-12,$4070,$4091,$3864,$3978,$23.9 bn,5983691.0,$489.5 bn
2024-03-11,$3878,$4081,$3786,$4067,$25.8 bn,6492840.0,$487 bn
2024-03-10,$3907,$3957,$3817,$3880,$14 bn,3569936.0,$479.3 bn
2024-03-09,$3886,$3940,$3876,$3907,$10.7 bn,2728471.0,$478.5 bn
2024-03-08,$3871,$3991,$3834,$3885,$22.9 bn,5849611.0,$479.9 bn
2024-03-07,$3822,$3929,$3740,$3867,$20.8 bn,5440128.0,$467.3 bn
2024-03-06,$3557,$3895,$3509,$3824,$31.8 bn,8459159.0,$460.5 bn
2024-03-05,$3628,$3815,$3347,$3558,$42.7 bn,11665779.0,$447.4 bn
2024-03-04,$3488,$3636,$3459,$3627,$25.7 bn,7298219.0,$431.3 bn
2024-03-03,$3422,$3489,$3378,$3488,$13.4 bn,3911886.0,$420.4 bn
2024-03-02,$3432,$3457,$3400,$3420,$11.8 bn,3456733.0,$418.8 bn
2024-03-01,$3342,$3448,$3341,$3434,$16.8 bn,4929610.0,$416.7 bn
2024-02-29,$3382,$3520,$3305,$3346,$26.8 bn,7814750.0,$419.8 bn
2024-02-28,$3243,$3481,$3233,$3380,$31 bn,9379212.0,$404.7 bn
2024-02-27,$3178,$3283,$3167,$3243,$20.2 bn,6225948.0,$396.1 bn
2024-02-26,$3111,$3194,$3040,$3177,$17.3 bn,5547724.0,$381.3 bn
2024-02-25,$2993,$3115,$2987,$3112,$12.7 bn,4181726.0,$372.7 bn
2024-02-24,$2925,$2999,$2909,$2992,$7.7 bn,2598123.0,$362.2 bn
2024-02-23,$2972,$2992,$2909,$2924,$11.8 bn,4018695.0,$360.5 bn
2024-02-22,$2966,$3031,$2911,$2971,$16.5 bn,5562024.0,$363.5 bn
2024-02-21,$3014,$3016,$2878,$2973,$17.4 bn,5932931.0,$359.9 bn
2024-02-20,$2946,$3026,$2888,$3014,$18.8 bn,6409349.0,$359.7 bn
2024-02-19,$2881,$2982,$2862,$2942,$14 bn,4798243.0,$356.5 bn
2024-02-18,$2786,$2893,$2768,$2874,$10.2 bn,3617663.0,$343.7 bn
2024-02-17,$2803,$2803,$2728,$2787,$8.5 bn,3076283.0,$339.9 bn
2024-02-16,$2823,$2856,$2762,$2803,$12.2 bn,4333674.0,$344.3 bn
2024-02-15,$2775,$2859,$2767,$2821,$14.9 bn,5316837.0,$343.2 bn
