date,price,market_cap,volume_24h
2017-01-02,1019.1988000000001,16387926824.930002,4444828109.160988
2017-01-03,1035.5313,16652715382.972502,4399421326.952804
2017-01-04,1130.8495163207272,18187664239.845806,8705359110.270647
2017-01-05,990.6674999999997,15934886737.499996,12102750396.564293
2017-01-06,894.0325,14382278476.6875,10713248031.59434
2017-01-07,900.0787999999999,14481153594.445597,7496626398.452948
2017-01-08,908.0850000000004,14611836820.125006,4735054808.286752
2017-01-09,901.8788880390637,14513519375.287489,4072687734.819042
2017-01-10,905.7594626984339,14577733897.52693,3216810928.8509765
2017-01-11,784.2775000000003,12624083564.875004,5258603516.371743
2017-01-12,799.4275,12869633173.255001,3344901197.95181
2017-01-13,824.4988000000003,13274790985.975603,1860269657.1335685
2017-01-14,817.8250000000003,13169067953.750004,1204479772.0607476
2017-01-15,821.9124999999998,13236623006.074997,923896735.4232056
2017-01-16,828.3099999999998,13341392032.219997,831361487.5460993
2017-01-17,904.1525000000003,14564800038.017504,1316827456.7886617
2017-01-18,873.9349999999996,14079682756.124992,1147970282.1944575
2017-01-19,896.89,14451431614.25,875858520.4030075
2017-01-20,891.4588,14366002978.3256,613796288.0985693
2017-01-21,919.6775000000004,14822821174.630005,683491208.3440663
2017-01-22,918.7788120146554,14810403902.437784,830201798.1765068
2017-01-23,918.9075000000001,14814052397.812502,467022882.86124325
2017-01-24,885.7887999999999,14281760609.625599,378666162.59162563
2017-01-25,893.4737999999999,14407365094.065598,381951425.9179588
2017-01-26,915.3599999999999,14762033603.999998,58349366.78102703
2017-01-27,918.2875,14811184892.8875,49029317.21219829
2017-01-28,920.245,14844529150.19,21882209.48833088
2017-01-29,914.1424999999998,14747986190.022495,20288320.821250055
2017-01-30,920.9911458822621,14860100039.695711,30166025.396133278
2017-01-31,968.2662999999999,15624634422.4056,101775253.2428098
2017-02-01,986.5728903454353,15922459702.093218,92784081.5523147
2017-02-02,1008.4033182231417,16276789219.937464,93269627.17186482
2017-02-03,1015.4425000000001,16392262891.437502,138411478.18957058
2017-02-04,1033.63,16687723783.25,99014097.13559519
2017-02-05,1016.9261585954309,16420090077.568644,75284571.16114573
2017-02-06,1024.5110886063283,16544150319.051847,73413586.50003262
2017-02-07,1051.5000000000005,16981015237.500008,89525304.92230712
2017-02-08,1055.3013,17045265643.7481,164316931.3624948
2017-02-09,981.7049999999999,15858560740.5,333977588.2356619
2017-02-10,992.1113,16028562068.135601,155061226.92505568
2017-02-11,1010.9462999999998,16334579162.865597,61189139.07653336
2017-02-12,1000.5237691031117,16167938833.727505,36448049.44931276
2017-02-13,996.1039358698114,16098583564.75675,75754126.52273774
2017-02-14,1010.1021618594351,16326912555.985212,79285701.69931836
2017-02-15,1008.8812999999999,16308969767.019999,38397960.040879354
2017-02-16,1034.9038000000003,16731535006.800604,66797083.39238934
2017-02-17,1056.5580910529798,17083619843.997013,93994063.10950576
2017-02-18,1058.5809306486606,17118312229.51949,55001149.210340396
2017-02-19,1053.5024999999998,17037979881.749996,37478366.695671685
2017-02-20,1082.0168234958396,17500458951.95995,55971656.67700667
2017-02-21,1125.4088148356532,18202277765.49074,157173668.2490902
2017-02-22,1123.3049999999998,18168250822.125,99272532.79966931
2017-02-23,1185.6547846887681,19176691563.44728,132273779.09306018
2017-02-24,1180.8709999999999,19108706913.124996,303444815.37207663
2017-02-25,1149.4036781698383,18601876715.06894,118187068.14571138
2017-02-26,1180.6730000000002,19110682514.326004,89353606.5435028
2017-02-27,1193.1295150369579,19314424735.21033,87503104.90059088
2017-02-28,1190.3309999999997,19271383899.146996,139855221.83568653
2017-03-01,1227.4771489660905,19875003126.771698,105587214.84284867
2017-03-02,1262.0810000000001,20437807786.697002,174318244.9248126
2017-03-03,1289.5406116191473,20884867165.511112,152484577.44121936
2017-03-04,1268.8145320151446,20551257963.730083,121628867.96214925
2017-03-05,1276.2330000000002,20673857896.125004,62090177.87740499
2017-03-06,1280.9859999999996,20753062038.099995,65232264.87056507
2017-03-07,1233.0565084079958,19978921138.285755,213974224.53913003
2017-03-08,1149.6310000000003,18629281761.825005,248575333.3901731
2017-03-09,1191.2367224851023,19305673114.12323,149501332.4258168
2017-03-10,1100.0105899712148,17829356645.959938,417086882.86842495
2017-03-11,1181.2041227520244,19147525540.5318,169071412.54824838
2017-03-12,1230.56,19950023304.0,104613431.4350169
2017-03-13,1243.2649223901926,20158188044.32141,131403644.08735795
2017-03-14,1246.5567394807624,20214039431.746094,86807305.13232267
2017-03-15,1258.4569999999999,20409261728.958996,72763975.2935764
2017-03-16,1217.3145410078776,19743578282.65421,137592935.4142275
2017-03-17,1074.0938695062455,17423426593.321995,283988947.7236811
2017-03-18,961.9620000000001,15606390507.000002,342885274.9538922
2017-03-19,1023.4901008756748,16606689806.263306,177388243.2413791
2017-03-20,1036.3320123738727,16816818647.793924,101975751.4316815
2017-03-21,1112.701532272989,18058074337.21503,150015664.59348586
2017-03-22,1039.8401726478428,16877645842.247137,188848065.44100598
2017-03-23,1029.1394137431018,16705852353.567331,82048831.9755843
2017-03-24,940.0206265591036,15261293153.465893,161801850.34465718
2017-03-25,965.2650626610691,15672767506.162113,190451071.3339399
2017-03-26,954.4766599717783,15499531724.033215,130490540.3796116
2017-03-27,1042.6050726198062,16932388062.889202,138288339.0282277
2017-03-28,1044.7219999999998,16968792612.799994,127643560.28946394
2017-03-29,1038.617197616254,16871375654.368252,121169066.49229117
2017-03-30,1031.4929056461594,16757840043.708635,102438849.919161
2017-03-31,1078.274711090609,17519577833.28675,133287124.42714268
2017-04-01,1085.2529999999997,17634831646.535995,87750426.90171514
2017-04-02 00:00:00.000,1098.0679999999998,18517903140.18806,80231506.35067685
2017-04-03 00:00:00.000,1139.3082754455547,18539058629.558556,131765236.03753588
2017-04-04 00:00:00.000,1140.4975903801683,18408732920.443806,108222974.26702544
2017-04-05 00:00:00.000,1132.339904992776,19416796070.09999,87439620.02168314
2017-04-06 00:00:00.000,1194.2109999999996,19347052264.0503,128309277.22353126
2017-04-07 00:00:00.000,1189.775123703212,19227110119.602,90840184.05054909
2017-04-08 00:00:00.000,1182.271,19316186631.362995,43899666.20643768
2017-04-09 00:00:00.000,1187.6989999999998,19691023824.75,41151425.52338414
2017-04-10 00:00:00.000,1210.515,19955556306.916,76050218.05983433
2017-04-11 00:00:00.000,1226.618,19822303422.025,78899688.76011947
2017-04-12 00:00:00.000,1218.299,19106860359.408,83573376.82029216
2017-04-13 00:00:00.000,1174.209,19263144684.95,131395672.09469403
2017-04-14 00:00:00.000,1183.687,19210567706.901,92892227.90249667
2017-04-15 00:00:00.000,1180.323,19310204918.47,53325277.000297464
2017-04-16 00:00:00.000,1186.31,19618884439.9,36294382.376176596
2017-04-17 00:00:00.000,1205.143,19823480859.0,83379623.41478413
2017-04-18 00:00:00.000,1217.58,19958292470.9,85025813.90001634
2017-04-19 00:00:00.000,1225.721,20419371472.848,71343829.93791687
2017-04-20 00:00:00.000,1253.904,20439557226.725,112476255.64770472
2017-04-21 00:00:00.000,1254.9875,20355249795.0,91517340.71934254
2017-04-22 00:00:00.000,1249.67,20327793187.52,84061246.82405868
2017-04-23 00:00:00.000,1247.8388,20364256790.6925,84420564.20787704
2017-04-24 00:00:00.000,1249.9563,20579834197.125,70514448.2984891
2017-04-25 00:00:00.000,1263.045,20977699422.84,93017240.89550121
2017-04-26 00:00:00.000,1287.32,21697132034.375,121914930.77675967
2017-04-27 00:00:00.000,1331.3125,21534600390.46,134993633.3799261
2017-04-28 00:00:00.000,1321.205,21643161383.0556,161417797.38181546
2017-04-29 00:00:00.000,1327.6863,22007601314.79,86320647.340096
2017-04-30 00:00:00.000,1349.8863,22964730936.125,86247238.96408871
2017-05-01 00:00:00.000,1408.445,23518941607.875,217759983.7243955
2017-05-02 00:00:00.000,1442.245,24231937589.4375,189160669.69719717
2017-05-03 00:00:00.000,1485.8175,24455911024.0,206154588.92349654
2017-05-04 00:00:00.000,1499.36,24567395211.1206,335017412.62340426
2017-05-05 00:00:00.000,1506.0438,25252078563.53,324314592.9971558
2017-05-06 00:00:00.000,1547.815,25419561546.555,135507234.10379437
2017-05-07 00:00:00.000,1557.8838,26655087385.5,149859388.43444195
2017-05-08 00:00:00.000,1633.38,27748404857.4425,276144904.85303676
2017-05-09 00:00:00.000,1700.1775,28521047690.935,383922543.2526552
2017-05-10 00:00:00.000,1747.3175,29527250348.0656,288565639.4229343
2017-05-11 00:00:00.000,1808.7788,27767470033.9575,313353159.7330766
2017-05-12 00:00:00.000,1700.7725,28602793979.76,248020430.1818661
2017-05-13 00:00:00.000,1751.73,28867391787.52,246696636.62711567
2017-05-14 00:00:00.000,1767.7088,27702000821.75,124978733.01274386
2017-05-15 00:00:00.000,1696.13,28034610160.905,231039670.3102772
2017-05-16 00:00:00.000,1716.315,29477763646.6281,218205145.65872082
2017-05-17 00:00:00.000,1804.4513,30868475119.0056,271656160.3631455
2017-05-18 00:00:00.000,1889.4088,32237082949.2181,230137778.81666598
2017-05-19 00:00:00.000,1972.9013,33393518554.5,279848678.0797178
2017-05-20 00:00:00.000,2043.42,33568054937.0756,274198303.3238714
2017-05-21 00:00:00.000,2053.8788,34479453631.095,264478153.79685724
2017-05-22 00:00:00.000,2109.3963,37479380943.125,580030832.7898638
2017-05-23 00:00:00.000,2292.7025,40025140034.1006,389402023.7389176
2017-05-24 00:00:00.000,2448.1313,38704024228.25,555024432.8249408
2017-05-25 00:00:00.000,2366.9725,36997900173.0,889791512.2689184
2017-05-26 00:00:00.000,2262.36,34066387966.5,716011543.9589934
2017-05-27 00:00:00.000,2082.845,36305932627.5,683119789.1268574
2017-05-28 00:00:00.000,2219.4875,37402630788.11,401864331.3271442
2017-05-29 00:00:00.000,2286.2663,35466825282.315,312368211.91593516
2017-05-30 00:00:00.000,2167.6438,38113024210.0,335746190.66623986
2017-05-31 00:00:00.000,2329.0775,39868442921.8656,416350458.7178713
2017-06-01 00:00:00.000,2436.0363,41152717323.6675,438586633.5187092
2017-06-02 00:00:00.000,2514.2275,41949676689.0,292795886.85332465
2017-06-03 00:00:00.000,2562.54,41854068527.985,304803966.17644024
2017-06-04 00:00:00.000,2556.405,44563721217.1875,254469613.91820475
2017-06-05 00:00:00.000,2721.5525,47547556371.0756,334411829.5166427
2017-06-06 23:29:55.701,2903.4438,44484425844.04,1211604496.354524
2017-06-07 00:00:00.000,2716.0588,46261410000.6806,717931660.7865304
2017-06-08 23:39:21.692,2824.2038,46149913864.145,580940070.4176636
2017-06-09 00:00:00.000,2817.0638,48127389931.89,393210044.6730309
2017-06-10 00:00:00.000,2937.4538,49382412955.42,354694237.39057237
2017-06-11 00:00:00.000,3013.7138,44267424094.875,350197483.3404642
2017-06-12 00:00:00.000,2701.255,44844697932.88,792436484.821471
2017-06-13 00:00:00.000,2736.1888,41033780985.98741,410084483.665015
2017-06-14 00:00:00.000,2503.40127294964,40072859209.16968,565476421.7798644
2017-06-15 00:00:00.000,2444.49371230854,41213920649.6624,845674827.7127961
2017-06-16 00:00:00.000,2513.81034764638,44001982613.919,404682134.6180688
2017-06-17 00:00:00.000,2683.5713440378,42262755911.74297,386716359.4470909
2017-06-18 00:00:00.000,2577.21936114026,42971547871.184555,320439362.70244586
2017-06-19 00:00:00.000,2620.13645139993,45561980141.81072,307738404.7993459
2017-06-20 00:00:00.000,2777.79265567999,44569583131.63903,461719561.5390207
2017-06-21 00:00:00.000,2717.00310788798,44703988751.351746,447106675.7720245
2017-06-22 00:00:00.000,2724.91221331707,44920255723.30297,273815444.4663382
2017-06-23 00:00:00.000,2737.74623109829,42966679003.94212,187781433.42478496
2017-06-24 00:00:00.000,2618.41673570888,42781394178.82268,314564252.5547436
2017-06-25 00:00:00.000,2606.8632352265,40837922140.409676,320081172.027822
2017-06-26 00:00:00.000,2488.19416337737,41550828140.55376,540038332.4734977
2017-06-27 00:00:00.000,2531.34899878484,42279511902.81053,518735269.2034187
2017-06-28 00:00:00.000,2575.43777025493,42057301540.09505,351206317.75963986
2017-06-29 00:00:00.000,2561.68143454198,40897674121.940735,239853090.84820977
2017-07-01,2439.82055973389,40066457532.22669,207555417.49021047
2017-07-02,2518.54569431263,41365191378.720184,226784228.5962842
2017-07-03,2576.7146569746,42326047726.1706,304599469.9256256
2017-07-04,2610.99757474179,42894251457.13055,274900590.57347757
2017-07-05,2607.21930206989,42836970322.05267,238310795.50144583
2017-07-06,2612.67042830497,42931269844.38585,175365965.04167378
2017-07-07,2509.21820981689,41236052946.94405,260711000.65693903
2017-07-08,2563.19551359687,42128232902.263275,178182801.69270346
2017-07-09,2519.21739188349,41409824820.38926,117876420.56676134
2017-07-10,2363.51568155487,38856285254.84228,387541497.1273901
2017-07-11,2353.91066125207,38703498121.36672,420715282.36799073
2017-07-12,2387.32891171674,39258160520.55891,314834432.76192206
2017-07-13,2364.32126576467,38884514157.240425,233041527.6837674
2017-07-14,2228.72879099011,36658380771.82992,320113442.0299653
2017-07-15,2033.29108803266,33447052810.303905,463942211.44058734
2017-07-16,1927.09906562122,31704152052.833904,480771847.6159585
2017-07-17,2181.28608069932,35890008657.39433,495170862.90144104
2017-07-18,2303.88935545646,37911881677.64932,729320057.5415988
2017-07-19,2274.62136530529,37434637985.045944,577643323.797571
2017-07-20,2766.82511908244,45540558047.53742,1277986817.595834
