date,open,high,low,close,volume,volume_eth,market_cap,tmw_avg_high_close,tmw_percent_increase,tmw_1_0_percent_increase_binary,tmw_1_25_percent_increase_binary,tmw_1_5_percent_increase_binary,tmw_1_75_percent_increase_binary,tmw_2_0_percent_increase_binary,tmw_2_25_percent_increase_binary,tmw_2_5_percent_increase_binary,tmw_2_75_percent_increase_binary,tmw_3_0_percent_increase_binary,tmw_positive_percent_increase_binary,ema_2,rsi_2,sma_2,last_2_day_1_0_percent_increase_count,last_2_day_1_25_percent_increase_count,last_2_day_1_5_percent_increase_count,last_2_day_1_75_percent_increase_count,last_2_day_2_0_percent_increase_count,last_2_day_2_25_percent_increase_count,last_2_day_2_5_percent_increase_count,last_2_day_2_75_percent_increase_count,last_2_day_3_0_percent_increase_count,ema_5,rsi_5,sma_5,last_5_day_1_0_percent_increase_count,last_5_day_1_25_percent_increase_count,last_5_day_1_5_percent_increase_count,last_5_day_1_75_percent_increase_count,last_5_day_2_0_percent_increase_count,last_5_day_2_25_percent_increase_count,last_5_day_2_5_percent_increase_count,last_5_day_2_75_percent_increase_count,last_5_day_3_0_percent_increase_count,ema_10,rsi_10,sma_10,last_10_day_1_0_percent_increase_count,last_10_day_1_25_percent_increase_count,last_10_day_1_5_percent_increase_count,last_10_day_1_75_percent_increase_count,last_10_day_2_0_percent_increase_count,last_10_day_2_25_percent_increase_count,last_10_day_2_5_percent_increase_count,last_10_day_2_75_percent_increase_count,last_10_day_3_0_percent_increase_count,ema_25,rsi_25,sma_25,last_25_day_1_0_percent_increase_count,last_25_day_1_25_percent_increase_count,last_25_day_1_5_percent_increase_count,last_25_day_1_75_percent_increase_count,last_25_day_2_0_percent_increase_count,last_25_day_2_25_percent_increase_count,last_25_day_2_5_percent_increase_count,last_25_day_2_75_percent_increase_count,last_25_day_3_0_percent_increase_count,ema_50,rsi_50,sma_50,last_50_day_1_0_percent_increase_count,last_50_day_1_25_percent_increase_count,last_50_day_1_5_percent_increase_count,last_50_day_1_75_percent_increase_count,last_50_day_2_0_percent_increase_count,last_50_day_2_25_percent_increase_count,last_50_day_2_5_percent_increase_count,last_50_day_2_75_percent_increase_count,last_50_day_3_0_percent_increase_count,ema_100,rsi_100,sma_100,last_100_day_1_0_percent_increase_count,last_100_day_1_25_percent_increase_count,last_100_day_1_5_percent_increase_count,last_100_day_1_75_percent_increase_count,last_100_day_2_0_percent_increase_count,last_100_day_2_25_percent_increase_count,last_100_day_2_5_percent_increase_count,last_100_day_2_75_percent_increase_count,last_100_day_3_0_percent_increase_count,january,february,march,april,may,june,july,august,september,october,november,december,monday,tuesday,wednesday,thursday,friday,saturday,sunday
2015-11-15,0.8912,0.9215,0.875,0.9064,411800.0,458365.0,67200000.0,0.93685,0.032502535090996404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.005643064559337,63.67372222871958,1.0098039215686274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0060238836914903,49.57926066781169,1.033099297893681,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.997783224715899,51.58162620403866,0.9846715407763088,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,1.0400359362352616,50.95845814506273,1.0246856078248718,18.0,17.0,16.0,15.0,15.0,15.0,14.0,14.0,13.0,1.049078119227544,46.417699702720014,1.2164222370144508,29.0,27.0,25.0,24.0,24.0,24.0,23.0,23.0,20.0,0.9420446275870882,43.06621091097595,0.9595057656091708,50.0,48.0,45.0,44.0,43.0,42.0,40.0,40.0,37.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-11-16,0.9062,0.9447,0.892,0.929,620900.0,676442.0,68600000.0,1.02,0.08921568627450978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0100337162954085,80.44225604924114,1.0123133921760925,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0205257531280478,54.79361302657559,1.0267462422634837,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0184653536848838,53.51527178808724,1.0088943430240767,7.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,1.060586086121932,51.682152305770806,1.0333520204312272,18.0,17.0,16.0,15.0,15.0,15.0,14.0,14.0,13.0,1.072072566622638,46.82182333243015,1.2398238355798747,30.0,28.0,26.0,25.0,25.0,25.0,24.0,24.0,21.0,0.9661928173523243,43.32836674015684,0.9816041673270571,51.0,49.0,46.0,45.0,44.0,43.0,41.0,41.0,38.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2015-11-17,0.9249,1.03,0.9058,1.01,1100000.0,1183690.0,72200000.0,1.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0306924299783071,95.46105888193065,1.0417741103661684,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.070433010400722,69.10689706872597,1.0887609684582713,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.08608410813206,59.89369585766717,1.0871788247704544,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,1.1396412603387487,54.20512845209931,1.100424044592233,18.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,14.0,1.15802916211645,48.24926994999312,1.332731624797781,31.0,29.0,27.0,26.0,26.0,26.0,25.0,25.0,22.0,1.0493876276801921,44.25758260241239,1.0637278289104373,51.0,49.0,46.0,45.0,44.0,43.0,41.0,41.0,38.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2015-11-18,0.99,1.01,0.9405,0.99,681100.0,691994.0,73600000.0,0.98275,-0.007377257695242919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0034042232733504,69.21378811784946,0.9900000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0322941956639657,62.95479805657804,1.047796452309386,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.05222296122096,57.720804865457964,1.070258699905947,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,3.0,1.107103860861002,53.48679534063507,1.0589549077746545,17.0,16.0,16.0,15.0,15.0,15.0,14.0,14.0,13.0,1.1291158847021503,47.92514773750309,1.2950995526019728,30.0,28.0,26.0,25.0,25.0,25.0,24.0,24.0,21.0,1.028025310030914,44.07733231334585,1.0395807234431753,50.0,48.0,45.0,44.0,43.0,42.0,41.0,41.0,38.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2015-11-19,0.9887,1.01,0.9375,0.9555,443500.0,455866.0,72800000.0,0.9403,-0.01616505370626395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892528956600535,35.51999539260713,0.9822667694680033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9975438587362112,52.81639034631712,0.9972030307457888,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.012690588546592,53.968131226791655,1.0379551577300774,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0629203182982456,52.242769040274936,1.0074183100254728,16.0,15.0,15.0,14.0,14.0,14.0,13.0,13.0,12.0,1.0859450436244071,47.365081540722464,1.2429138948797933,29.0,27.0,25.0,24.0,24.0,24.0,23.0,23.0,20.0,0.9923534563387225,43.76674306652922,1.0045607372876546,49.0,47.0,44.0,43.0,42.0,41.0,40.0,40.0,37.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2015-11-20,0.9557,0.9557,0.8986,0.9249,614300.0,657928.0,69900000.0,0.9774,0.05371393492940453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9854456431306641,19.0603499081495,0.9837268666241228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767988731044883,44.81482484489389,0.9615544558572795,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.9837901347964051,50.718496051082504,1.0057415019247082,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0265995262037029,51.143746446450244,0.9672581697705939,15.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,11.0,1.0490625087663952,46.86935617200056,1.195807884652183,29.0,27.0,25.0,24.0,24.0,24.0,23.0,23.0,20.0,0.9613237527346246,43.49217540720813,0.9754158093504505,48.0,46.0,43.0,42.0,41.0,40.0,39.0,39.0,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2015-11-21,0.9288,0.9787,0.9209,0.9761,456000.0,479397.0,71200000.0,0.97605,-5.122688386864863e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0129861555379271,68.26759693162562,1.0269331930562864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.020371601254904,58.09330123753691,1.0049418305363946,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0310794216134433,55.67989379404567,1.0405628697830605,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0765206175214048,52.87172857019514,1.0162753990762838,15.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,11.0,1.1025037502681605,47.80209147774821,1.2523704070556656,30.0,28.0,26.0,25.0,25.0,25.0,24.0,24.0,21.0,1.014248050049296,44.08502783791031,1.0387667185996816,48.0,46.0,43.0,42.0,41.0,40.0,39.0,39.0,36.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-11-22,0.9798,0.9841,0.959,0.968,372200.0,382609.0,72900000.0,0.95805,-0.01038567924429833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0015220399894618,57.254224280849776,0.9958335476570137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0079047805116343,55.4546101632587,1.0052965001557794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0183529024017604,54.71167687796702,1.0240352064996614,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0620655910552315,52.56534713509878,1.009186937284453,14.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,10.0,1.089366668318631,47.66700242346813,1.233092744370193,29.0,27.0,25.0,24.0,24.0,24.0,23.0,23.0,21.0,1.0057153500087161,44.01124055982785,1.0396841422391017,47.0,45.0,42.0,41.0,40.0,39.0,38.0,38.0,35.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2015-11-23,0.9675,0.9691,0.9339,0.947,441900.0,463013.0,71500000.0,0.92415,-0.02472542336200825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931729742961674,31.175595639022756,0.9890339425587469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9906492031695358,48.33911003696624,0.9923504139159594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9969383566950228,52.10180719953983,0.997293511800078,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0359151812416196,51.75539820885396,0.998241745268102,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,9.0,1.0629935367628203,47.31327844165637,1.1978395881556811,29.0,27.0,25.0,24.0,24.0,24.0,23.0,23.0,21.0,0.9842109788952181,43.819173171718084,1.0253112203910257,47.0,45.0,42.0,41.0,40.0,39.0,38.0,38.0,35.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2015-11-24,0.9464,0.9481,0.8959,0.9002,524200.00000000006,568138.0,69200000.0,0.8815,-0.021213840045377255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9806421989624636,10.288376584082977,0.9746643568644437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9603575734736575,35.61046900244412,0.9543700436792333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9567736314232458,46.59769498879249,0.9468712856707093,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0.985879769804356,49.96806329277952,0.9545360077024546,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,9.0,1.010046860959939,46.52811049443196,1.1308732673217574,29.0,27.0,25.0,24.0,24.0,24.0,23.0,23.0,21.0,0.9367671700380737,43.39288827865246,0.981760756616688,47.0,45.0,42.0,41.0,40.0,39.0,38.0,38.0,35.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
