iter	Passed	Remaining
0	2	788
1	5	750
2	7	734
3	9	729
4	12	727
5	14	725
6	17	737
7	20	734
8	22	728
9	25	725
10	26	695
11	28	693
12	31	692
13	34	698
14	36	695
15	38	691
16	41	688
17	43	684
18	46	682
19	49	686
20	51	682
21	53	679
22	56	674
23	58	670
24	60	669
25	63	672
26	66	672
27	68	670
28	71	668
29	74	666
30	76	663
31	78	661
32	82	665
33	85	668
34	87	665
35	90	663
36	92	660
37	95	657
38	98	658
39	100	655
40	103	651
41	105	648
42	108	646
43	110	642
44	113	644
45	115	640
46	118	637
47	121	635
48	123	635
49	126	632
50	129	633
51	132	630
52	134	627
53	137	626
54	139	623
55	142	621
56	145	620
57	148	617
58	150	614
59	152	610
60	155	607
61	157	605
62	160	604
63	163	602
64	166	600
65	168	597
66	171	594
67	173	592
68	176	590
69	179	589
70	182	587
71	184	584
72	187	582
73	189	579
74	192	576
75	194	574
76	197	571
77	199	568
78	201	565
79	204	561
80	206	558
81	209	556
82	211	554
83	214	550
84	216	547
85	219	545
86	221	542
87	223	539
88	226	537
89	229	535
90	231	532
91	234	529
92	236	526
93	238	523
94	241	521
95	244	519
96	246	516
97	249	513
98	251	510
99	253	507
100	256	504
101	259	502
102	261	500
103	263	497
104	266	494
105	268	491
106	270	488
107	273	486
108	276	484
109	279	482
110	281	479
111	284	476
112	286	474
113	288	471
114	291	469
115	293	466
116	296	463
117	298	460
118	301	457
119	303	455
120	306	452
121	308	450
122	311	447
123	313	445
124	316	442
125	318	439
126	321	437
127	323	435
128	326	432
129	328	429
130	330	426
131	333	424
132	335	421
133	338	419
134	341	416
135	343	414
136	345	411
137	348	408
138	350	406
139	353	403
140	355	400
141	357	398
142	360	395
143	362	392
144	365	390
145	367	387
146	370	385
147	373	383
148	376	381
149	378	378
150	381	376
151	383	373
152	386	371
153	388	368
154	390	365
155	393	363
156	395	360
157	398	357
158	400	355
159	403	353
160	405	350
161	408	347
162	410	345
163	413	342
164	415	340
165	418	337
166	420	335
167	423	332
168	425	329
169	427	327
170	430	324
171	432	321
172	435	319
173	438	317
174	440	314
175	442	312
176	445	309
177	447	306
178	450	304
179	452	301
180	455	299
181	457	296
182	459	294
183	462	291
184	464	288
185	468	286
186	470	284
187	473	282
188	475	279
189	478	276
190	480	274
191	483	272
192	486	269
193	488	266
194	490	264
195	493	261
196	495	259
197	498	256
198	500	254
199	503	251
200	505	248
201	507	246
202	510	243
203	512	241
204	515	238
205	517	236
206	520	233
207	522	231
208	524	228
209	527	226
210	529	223
211	532	221
212	535	218
213	537	216
214	539	213
215	542	210
216	544	208
217	547	206
218	554	205
219	558	203
220	561	200
221	564	198
222	581	200
223	604	204
224	611	203
225	629	206
226	636	204
227	642	202
228	655	203
229	666	202
230	672	200
231	677	198
232	681	195
233	697	196
234	701	193
235	704	190
236	707	188
237	711	185
238	715	182
239	719	179
240	722	176
241	725	173
242	730	171
243	733	168
244	736	165
245	739	162
246	741	159
247	744	156
248	747	153
249	750	150
250	752	146
251	755	143
252	757	140
253	761	137
254	763	134
255	766	131
256	769	128
257	771	125
258	774	122
259	776	119
260	779	116
261	782	113
262	785	110
263	787	107
264	790	104
265	793	101
266	796	98
267	798	95
268	800	92
269	803	89
270	805	86
271	808	83
272	810	80
273	813	77
274	815	74
275	818	71
276	820	68
277	822	65
278	825	62
279	828	59
280	830	56
281	832	53
282	835	50
283	837	47
284	840	44
285	842	41
286	845	38
287	847	35
288	850	32
289	852	29
290	854	26
291	857	23
292	860	20
293	862	17
294	865	14
295	867	11
296	869	8
297	872	5
298	875	2
299	878	0
